Regularization,Final_FRC,Final_Test_Loss
None,0.005560958555545094,0.1473144292831421
L2_weak,0.005566200496647512,0.1473291516304016
L2_medium,0.005475809638795707,0.14699231088161469
L2_strong,0.0050934363662595685,0.1429668515920639
Dropout_weak,0.005887783898338653,0.15123555064201355
Dropout_medium,0.006767802741949618,0.18955522775650024
Dropout_strong,0.006313126274699395,0.3649061322212219
