epoch,loss,ev_low_k1,ev_high_k10
1,0.5566014647483826,0.3311097412022882,0.07249836246800723
2,0.5309455990791321,0.3154108965219844,0.06401213376125892
3,0.5013582706451416,0.3500729753815113,0.06819221049221147
4,0.47152796387672424,0.45570801118942705,0.0893357277324327
5,0.43030592799186707,0.5856942612958489,0.11791068649920056
6,0.3962935507297516,0.6765516100112209,0.1395503861367292
7,0.3714437782764435,0.7109670335343702,0.14524205930447098
8,0.3397350311279297,0.7198445336196035,0.1436005798969967
9,0.3166485130786896,0.7542065837719371,0.1511399981335928
10,0.30370426177978516,0.8277178089877015,0.1754652920571591
11,0.28745976090431213,0.8960717529052407,0.2040161640702206
12,0.28394344449043274,0.9241735005407223,0.21714671122439844
13,0.28345274925231934,0.923410187682565,0.2134872025186254
14,0.2829478681087494,0.9276794782159592,0.2130863377776132
15,0.291578471660614,0.9514358470266399,0.22896404651950708
16,0.2930739223957062,0.9685302256896768,0.24544735430275133
17,0.3001713752746582,0.9678371773152628,0.24353145874095217
18,0.3005139231681824,0.9580344891254361,0.23089197848312581
19,0.2989450693130493,0.9549577378058822,0.2270410150241685
20,0.2959038019180298,0.9610662679892171,0.23374422405472017
21,0.2897792160511017,0.9613410152867912,0.23486214910413206
22,0.2863534986972809,0.9483373795867645,0.22360814991321387
23,0.27915599942207336,0.9296195955708638,0.20930876223969808
24,0.27528879046440125,0.9217577320033267,0.2043729163839676
25,0.2705814242362976,0.9226679699373043,0.20573803981333294
26,0.26698681712150574,0.9168041963357948,0.20258968774396124
27,0.26543155312538147,0.8985797454468396,0.19203038921278348
28,0.26313039660453796,0.8781947892327717,0.18123456414036865
29,0.2629651427268982,0.8698399273880373,0.17709370125414814
30,0.2626212537288666,0.8724211287643672,0.1782298289208677
31,0.2622518539428711,0.8729786767655006,0.17811134493043035
32,0.26281973719596863,0.8643071445824715,0.17328702888604042
33,0.26236864924430847,0.8519505323335188,0.16672561306308342
34,0.2620820999145508,0.8474154699089095,0.16372796312779858
35,0.26186010241508484,0.8540218771518925,0.1661545536841883
36,0.2607731521129608,0.8631924630096584,0.16992495091302962
37,0.2600584030151367,0.8659853512595397,0.17049932803858314
38,0.2590397596359253,0.8628567638195289,0.16807697602143346
39,0.2576509714126587,0.8619441286731568,0.16664684552537024
40,0.25664013624191284,0.8689607473358218,0.1692119074489482
41,0.25524818897247314,0.8797538476457762,0.17406809483573904
42,0.2540225684642792,0.8863326301069723,0.1765963577592332
43,0.2530871629714966,0.8868537776725823,0.17563098159299873
44,0.2520364224910736,0.8868488213068388,0.1746150771182866
45,0.25141391158103943,0.8917571268128119,0.1766736128583294
46,0.2507595121860504,0.8995283235356862,0.18061797828865367
47,0.2502426207065582,0.9040966112040651,0.18273636529049275
48,0.24988938868045807,0.9037922688859868,0.18173791294594688
49,0.2493439018726349,0.9028629835815221,0.18039018803251305
50,0.2489718198776245,0.9054176258426548,0.18137479646397114
51,0.24847187101840973,0.9095805860275205,0.1835496602880653
52,0.24799777567386627,0.9107159887570062,0.18370590757918515
53,0.24750161170959473,0.9082500444847532,0.18137172445660876
54,0.24684955179691315,0.9059940458056985,0.17927603295936223
55,0.24626030027866364,0.9066771663671144,0.17929251282963854
56,0.2455286681652069,0.9080170167965236,0.17981693524377795
57,0.24486224353313446,0.9066144392579117,0.17843793584052503
58,0.24418441951274872,0.9030314083542501,0.17561091938177187
59,0.24351181089878082,0.9008416851590083,0.17378819566572412
60,0.24288098514080048,0.9013365478226905,0.17372505141443428
61,0.24221011996269226,0.9017855421776866,0.17360821555199968
62,0.2416335791349411,0.8999163917077619,0.17196840167410798
63,0.2410300076007843,0.8971612258784303,0.1697800500081299
64,0.24046660959720612,0.8964117221826293,0.16888011112897816
65,0.23990491032600403,0.8976413557302613,0.16921099425572306
66,0.2393304407596588,0.8982084854157225,0.16908729120626487
67,0.23878054320812225,0.8970724542872732,0.16783722450514538
68,0.23819610476493835,0.8961246622041699,0.16666043940453878
69,0.23763465881347656,0.8972056443911914,0.16671366116540987
70,0.23704679310321808,0.8992249277223969,0.16731944737173843
71,0.23646797239780426,0.9000925189150076,0.16715166944250637
72,0.23588068783283234,0.8999468999413054,0.1662946124378364
73,0.23528578877449036,0.9006788548922098,0.16597429264412655
74,0.23469996452331543,0.9028352262460846,0.16656716879922262
75,0.23410306870937347,0.9047620973636854,0.16701830488477776
76,0.23352454602718353,0.9053928206341018,0.16660053301342637
77,0.23293529450893402,0.9058088630158908,0.16603127778857352
78,0.23236161470413208,0.9073021519668355,0.1662076550376982
79,0.23178191483020782,0.9092178410418517,0.16669748049251332
80,0.2312086820602417,0.9101586573713096,0.1665413506495791
81,0.2306327223777771,0.9102896606300411,0.165834304463101
82,0.23005473613739014,0.9109528139253997,0.1655096544639254
83,0.22947649657726288,0.9123226605539931,0.1656967245158113
84,0.22889010608196259,0.9132145065814425,0.16555619783321696
85,0.22830326855182648,0.913201898005837,0.1647876597982303
86,0.22770719230175018,0.9133032338611293,0.16411209123281023
87,0.22711192071437836,0.9141408692967361,0.1639690250440904
88,0.22650772333145142,0.9149136730550944,0.1637855231068357
89,0.2259049117565155,0.9149223837504876,0.16305515639702484
90,0.2252950668334961,0.914820868359829,0.16224219798801587
91,0.22468693554401398,0.9153955115386689,0.16190270679665053
92,0.224074587225914,0.9161620062699432,0.16170142574176927
93,0.2234632670879364,0.9163906617057338,0.1611075299091218
94,0.22284835577011108,0.9164167982976963,0.1603569949497563
95,0.2222328782081604,0.9169810256227111,0.15999214923352656
