Regularization,AUC_Low,AUC_High,Final_EV_Low,Final_EV_High,Final_Test_Loss
None,181.72583332859946,30.704699960363456,0.9813171633812652,0.1200433290139673,0.1473144292831421
L2,181.694471591953,30.683916930219056,0.9795201578439515,0.11934671548149445,0.14699231088161469
Dropout,175.24645966122154,28.24685584850146,0.9314389970130694,0.10309818352011346,0.18955522775650024
EarlyStop,181.72583332859946,30.704699960363456,0.9813171633812652,0.1200433290139673,0.1473144292831421
